District	Latitude	Longitude	mdr1-NFD1ANY	mdr1-NFD1PUR	sulfa-SUP1ANY	sulfa-SUP1PUR
Biharamulo	-2.81081	31.6887	16/56	14/56	0/57	0/57
Biharamulo	-2.81081	31.6887	28.6	25.0	0.0	0.0
Biharamulo	-2.81081	31.6887	17.3-42.2	14.4-38.4	0.0-6.3	0.0-6.3
Bukoba DC	-1.49015	31.4988	74/140	49/140	3/145	1/145
Bukoba DC	-1.49015	31.4988	52.9	35.0	2.1	0.7
Bukoba DC	-1.49015	31.4988	44.2-61.3	27.1-43.5	0.4-5.9	0.0-3.8
Karagwe	-1.7191994	31.024272	17/64	12/64	3/66	1/66
Karagwe	-1.7191994	31.024272	26.6	18.8	4.5	1.5
Karagwe	-1.7191994	31.024272	16.3-39.1	10.1-30.5	0.9-12.7	0.0-8.2
Kyerwa	-1.3132834	30.7914442	70/133	53/133	10/128	7/128
Kyerwa	-1.3132834	30.7914442	52.6	39.8	7.8	5.5
Kyerwa	-1.3132834	30.7914442	43.8-61.3	31.5-48.7	3.8-13.9	2.2-10.9
Misenyi	-1.25452	31.4204	52/93	23/93	2/95	1/95
Misenyi	-1.25452	31.4204	55.9	24.7	2.1	1.1
Misenyi	-1.25452	31.4204	45.2-66.2	16.4-34.8	0.3-7.4	0.0-5.7
Muleba	-1.796474	31.5308204	88/184	65/184	1/186	0/186
Muleba	-1.796474	31.5308204	47.8	35.3	0.5	0.0
Muleba	-1.796474	31.5308204	40.4-55.3	28.4-42.7	0.0-3.0	0.0-2.0
Ngara	-2.4955492	30.6350051	110/208	68/208	8/214	1/214
Ngara	-2.4955492	30.6350051	52.9	32.7	3.7	0.5
Ngara	-2.4955492	30.6350051	45.9-59.8	26.4-39.5	1.6-7.2	0.0-2.6
overall			427/878	284/878	27/891	11/891
overall			48.6	32.3	3.0	1.2
overall			45.3-52.0	29.3-35.6	2.0-4.4	0.6-2.2
