Gene ID,PF3D7_1343700
Gene,k13
Mutation Name,k13-prop
ExonicFunc,missense_variant
AA Change,all350all
Targeted,No
KGKA-BKG-142-2022-MSMT-1,560.0
KGMU-NSB-160-2022-MSMT-1,139.0
KGNG-CVU-048-2022-MSMT-1,0
KGMU-NSB-076-2022-MSMT-1,72.0
KGKA-BKG-066-2022-MSMT-1,912.0
KGMU-NSB-257-2022-MSMT-1,13.0
KGKA-BKG-160-2022-MSMT-1,2515.0
KGNG-CVU-086-2022-MSMT-1,64.0
KGKA-BKG-299-2022-MSMT-1,0
KGKA-BKG-218-2022-MSMT-1,23.0
KGMU-NSB-164-2022-MSMT-1,0
KGNG-CVU-094-2022-MSMT-1,61.0
KGMU-NSB-180-2022-MSMT-1,0
KGNG-CVU-090-2022-MSMT-1,0
KGMU-NSB-111-2022-MSMT-1,11.0
KGMU-NSB-068-2022-MSMT-1,0
KGMU-NSB-062-2022-MSMT-1,16.0
KGNG-CVU-101-2022-MSMT-1,69.0
KGKA-BKG-016-2022-MSMT-1,0
KGKA-BKG-154-2022-MSMT-1,1612.0
KGMU-NSB-107-2022-MSMT-1,22.0
KGMU-NSB-042-2022-MSMT-1,0
KGKA-BKG-013-2022-MSMT-1,98.0
KGMU-NSB-166-2022-MSMT-1,78.0
KGMU-NSB-263-2022-MSMT-1,20.0
KGMU-NSB-028-2022-MSMT-1,15.0
KGNG-CVU-103-2022-MSMT-1,12.0
KGMU-NSB-101-2022-MSMT-1,0
KGNG-CVU-037-2022-MSMT-1,14.0
KGKA-BKG-116-2022-MSMT-1,19.0
KGNG-CVU-127-2022-MSMT-1,0
KGKA-BKG-254-2022-MSMT-1,0
KGKA-BKG-107-2022-MSMT-1,108.0
KGKA-BKG-073-2022-MSMT-1,135.0
KGMU-NSB-142-2022-MSMT-1,0
KGKA-BKG-118-2022-MSMT-1,27.0
KGNG-CVU-060-2022-MSMT-1,15.0
KGKA-BKG-181-2022-MSMT-1,0
KGKA-BKG-001-2022-MSMT-1,0
KGMU-NSB-067-2022-MSMT-1,16.0
KGKA-BKG-279-2022-MSMT-1,414.0
KGKA-BKG-153-2022-MSMT-1,439.0
KGKA-BKG-269-2022-MSMT-1,0
KGKA-BKG-226-2022-MSMT-1,12.0
KGMU-NSB-167-2022-MSMT-1,0
KGMU-NSB-270-2022-MSMT-1,11.0
KGNG-CVU-050-2022-MSMT-1,0
KGMU-NSB-163-2022-MSMT-1,0
KGKA-BKG-264-2022-MSMT-1,16.0
KGKA-BKG-188-2022-MSMT-1,474.0
KGKA-BKG-276-2022-MSMT-1,0
