Gene ID,PF3D7_0523000,PF3D7_0523000,hybrid,hybrid
Gene,mdr1,mdr1,hybrid,hybrid
Mutation Name,mdr1-NFD1ANY,mdr1-NFD1PUR,sulfa-SUP1ANY,sulfa-SUP1PUR
ExonicFunc,missense_variant,missense_variant,missense_variant,missense_variant
AA Change,NFD1ANY,NFD1PUR,SUP1ANY,SUP1PUR
Targeted,Yes,Yes,Yes,Yes
KGKA-BKG-056-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKY-RWB-177-2021-MSMT-1,4.0,4.0,0.0,0.0
KGKY-RWB-031-2021-MSMT-1,207.0,207.0,221.0,221.0
KGBI-KZB-004-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-192-2021-MSMT-1,7.0,7.0,0.0,0.0
KGMU-NSB-185-2021-MSMT-1,48.0,48.0,100.0,100.0
KGBR-BUZ-017-2021-MSMT-1,9.0,9.0,12.0,12.0
KGNG-CVU-142-2021-MSMT-1,9.0,9.0,8.0,8.0
KGKY-RWB-043-2021-MSMT-1,212.0,212.0,196.0,196.0
KGNG-CVU-022-2021-MSMT-1,65.0,65.0,109.0,109.0
KGKA-BKG-223-2021-MSMT-1,4.0,4.0,0.0,0.0
KGKY-RWB-139-2021-MSMT-1,140.0,140.0,417.0,417.0
KGNG-CVU-167-2021-MSMT-1,9.0,9.0,0.0,0.0
KGMU-NSB-186-2021-MSMT-1,8.0,8.0,12.0,12.0
KGKA-BKG-163-2021-MSMT-1,4.0,4.0,0.0,0.0
KGNG-CVU-037-2021-MSMT-1,6.0,6.0,21.0,21.0
KGKY-RWB-026-2021-MSMT-1,25.0,25.0,43.0,43.0
KGKY-RWB-149-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-333-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-265-2021-MSMT-1,116.0,116.0,127.0,127.0
KGNG-NTG-009-2021-MSMT-1,75.0,75.0,77.0,77.0
KGNG-CVU-009-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-347-2021-MSMT-1,9.0,9.0,14.0,14.0
KGMU-NSB-349-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-327-2021-MSMT-1,6.0,6.0,15.0,15.0
KGMI-KYK-021-2021-MSMT-1,19.0,19.0,36.0,36.0
KGMU-RSW-028-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKY-RWB-107-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKY-RWB-009-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKA-BKG-218-2021-MSMT-1,0.0,0.0,0.0,0.0
KGNG-CVU-209-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKA-BKG-059-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-202-2021-MSMT-1,5.0,5.0,5.0,5.0
KGBR-BTU-062-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMI-KYK-065-2021-MSMT-1,37.0,37.0,40.0,40.0
KGKA-BKG-245-2021-MSMT-1,0.0,0.0,0.0,0.0
KGBR-BTU-078-2021-MSMT-1,0.0,0.0,12.0,12.0
KGMI-KYK-073-2021-MSMT-1,4.0,4.0,7.0,7.0
KGNG-NTG-027-2021-MSMT-1,112.0,112.0,139.0,139.0
KGKY-RWB-180-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKA-BKG-233-2021-MSMT-1,72.0,72.0,205.0,205.0
KGMU-NSB-231-2021-MSMT-1,14.0,14.0,14.0,14.0
KGMU-NSB-281-2021-MSMT-1,0.0,0.0,0.0,0.0
KGNG-CVU-135-2021-MSMT-1,0.0,0.0,0.0,0.0
KGBR-BTU-010-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-045-2021-MSMT-1,5.0,5.0,4.0,4.0
KGNG-NTG-006-2021-MSMT-1,19.0,19.0,7.0,7.0
KGMU-NSB-006-2021-MSMT-1,0.0,0.0,0.0,0.0
KGKA-BKG-018-2021-MSMT-1,26.0,26.0,40.0,40.0
KGNG-CVU-190-2021-MSMT-1,3.0,3.0,3.0,3.0
KGNG-CVU-061-2021-MSMT-1,60.0,60.0,201.0,201.0
KGNG-CVU-206-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMU-NSB-201-2021-MSMT-1,4.0,4.0,9.0,9.0
KGKY-RUG-035-2021-MSMT-1,13.0,13.0,22.0,22.0
KGMU-NSB-272-2021-MSMT-1,5.0,5.0,7.0,7.0
KGKA-BKG-241-2021-MSMT-1,7.0,7.0,12.0,12.0
KGNG-CVU-227-2021-MSMT-1,0.0,0.0,0.0,0.0
KGMI-KYK-034-2021-MSMT-1,297.0,297.0,299.0,299.0
KGKA-BKG-093-2021-MSMT-1,52.0,52.0,150.0,150.0
KGKY-RWB-059-2021-MSMT-1,0.0,0.0,0.0,0.0
KGNG-CVU-201-2021-MSMT-1,0.0,0.0,0.0,0.0
